INN,brand name
Acamprosate,Campral
Baclofen,"Baclosan, Kemstro, Lioresal"
Buprenorphine,Subutex
Buprenorphine + Naloxone,Suboxone
Clonidine,"Catapres, Kapvay, Nexiclon"
Disulfiram,Antabuse
Methadone,Dolophine
Nalmefene,Selincro
Naltrexone,"Depade, ReVia, Vivitrol"
Ondansetron,Zofran
Topiramate,Topamax
Bupropion,"Voxra, Zyban"
Cytisine,"Tabex, Desmoxan"
Varenicline,"Champix, Chantix"
Amfetamine,Evekeo
Amfetamine + Dexamfetamine,"Adderall, Adzenys, Dyanavel, Mydayis"
Dexamfetamine,"Dexedrine, Dextrostat, Zenzedi"
Lisdexamfetamine,"Vyvanse, Elvanse"
Methylphenidate,"Ritalin, Concerta"
Dexmethylphenidate,Focalin
Metamfetamine,Desoxyn
Atomoxetine,Strattera
Clonidine,Kapvay
Guanfacine,"Intuniv, Tenex"
Modafinil,"Provigil, Alertec, Modavigil"
Alprazolam,Xanax
Bromazepam,Lexotanil
Chlordiazepoxide,Librium
Clobazam,Frisium
Clonazepam,"Klonopin, Rivotril"
Clorazepate,Tranxene
Diazepam,Valium
Lorazepam,"Ativan, Temesta"
Oxazepam,Serax
Tofisopam,"Emandaxin, Grandaxin"
Buspirone,"BuSpar, Spitomin"
Hydroxyzine,"Atarax, Vistaril"
Meprobamate,"Equanil, Miltown"
Gabapentin,"Neurontin, Gabaran"
Pregabalin,Lyrica
Citalopram,"Celexa, Cipramil"
Clomipramine,Anafranil
Doxepin,"Doxepin, Sinequan"
Escitalopram,"Cipralex, Lexapro"
Fluoxetine,"Prozac, Sarafem"
Fluvoxamine,"Fevarin, Luvox"
Imipramine,Tofranil
Mirtazapine,"Avanza, Remeron, Zispin"
Paroxetine,"Paxil, Pexeva, Seroxat"
Sertraline,"Lustral, Zoloft"
Trazodone,"Azona, Deprax, Desyrel, Oleptro, Trittico, Thombran"
5-HTP,
Tryptophan,
Aripiprazole,Abilify
Risperidone,Risperdal
Carbamazepine,"Carbatrol, Carnevix, Epitol, Equetro, Tegretol, Tegretol XR, Teril"
Gabapentin,Neurontin
Lamotrigine,Lamictal
Levetiracetam,Keppra
Lithium salts,"Camcolit, Eskalith, Lithobid, Sedalit"
Oxcarbazepine,Trileptal
Topiramate,Topamax
Sodium valproate,"Convulex, Depakene, Depakine Enteric, Orfiril, Stavzor"
Divalproex sodium,"Depakote, Epival, Ergenyl Chrono"
Sodium valproate and,"Depakine Chrono, Depakine Chronosphere,"
valproic acid,"Epilim Chrono, Epilim Chronosphere"
Aripiprazole,Abilify
Asenapine,"Saphris, Sycrest"
Lurasidone,Latuda
Olanzapine,Zyprexa
Quetiapine,Seroquel
Risperidone,Risperdal
Ziprasidone,"Geodon, Zeldox"
Amisulpride,"Amazeo, Amipride, Amival, Deniban, Solian, Soltus, Sulpitac, Sulprix"
Amitriptyline,"Elavil, Endep, Tryptanol, Tryptomer"
Agomelatine,"Valdoxan, Melitor, Thymanax"
Bupropion,"Aplenzin, Wellbutrin"
Citalopram,"Celexa, Cipramil"
Clomipramine,Anafranil
Desipramine,"Norpramin, Pertofrane"
Desvenlafaxine,Pristiq
Doxepin,"Aponal, Adapine, Deptran, Prudoxin, Silenor, Sinquan, Sinequan, Zonalon"
Duloxetine,Cymbalta
Escitalopram,"Cipralex, Lexapro"
Fluoxetine,"Prozac, Sarafem"
Fluvoxamine,"Luvox, Faverin"
Imipramine,"Antideprin, Tofranil"
Lamotrigine,Lamictal
Levomilnacipran,Fetzima
Mirtazapine,"Remeron, Avanza"
Moclobemide,"Aurorix, Manerix"
Nortriptyline,"Aventyl, Pamelor"
Paroxetine,"Paxil, Pexeva, Seroxat"
Phenelzine,Nardil
Protriptyline,Vivactil
Reboxetine,"Edronax, Norebox, Prolift, Solvex, Vestra"
Rubidium chloride,Rubinorm
Selegiline,Emsam
Sertraline,"Zoloft, Lustral"
Tianeptine,"Stablon, Coaxil, Tatinol"
Tranylcypromine,Parnate
Trazodone,"Azona, Deprax, Desyrel, Oleptro, Trittico, Thombran"
Venlafaxine,"Effexor, Effexor XR"
Vilazodone,Viibryd
Vortioxetine,Trintellix
5-HTP,
Tryptophan,
Brotizolam,Lendormin
Estazolam,"Eurodin, ProSom"
Flunitrazepam,"Hipnosedon, Hypnodorm, Rohypnol, Vulbegal"
Flurazepam,"Dalmadorm, Dalmane"
Loprazolam,Dormonoct
Lormetazepam,Noctamid
Midazolam,"Dormicum, Hypnofast"
Nimetazepam,Erimin
Nitrazepam,"Alodorm, Dumolid, Mogadon, Pacisyn, Radedorm 5"
Phenazepam,"Phenazepam, Phenorelaxan, Phezipam"
Quazepam,"Doral, Dormalin"
Temazepam,"Normison, Restoril"
Triazolam,Halcion
Eszopiclone,Lunesta
Zaleplon,"Andante, Sonata, Starnoc"
Zolpidem,"Ambien CR, Hypnogen, Intermezzo, Ivadal, Sanval, Snovitel, Stilnoct, Stilnox, Sublinox"
Zopiclone,"Imovane, Imrest, Piclodorm, Somnol, Zimovane"
Agomelatine,"Melitor, Thymanax, Valdoxan"
Melatonin,"Circadin, Melaxen"
Ramelteon,Rozerem
Amobarbital,Amytal Sodium
Amobarbital/secobarbital,Tuinal
Butobarbital,"Neonal, Soneryl"
Cyclobarbital/Diazepam,Reladorm
Pentobarbital,Nembutal Sodium
Phenobarbital,Luminal
Secobarbital,Seconal Sodium
Amitriptyline,"Elavil, Endep, Laroxyl, Lentizol, Saroten, Sarotex, Tryptizol, Tryptomer"
Doxepin,"Doxepin, Silenor"
Mianserin,"Bolvidon, Depnon, Lerivon, Tolvon"
Mirtazapine,"Avanza, Remeron, Zispin"
Trazodone,"Azona, Deprax, Desyrel, Oleptro, Trittico, Thombran"
Trimipramine,"Rhotrimine, Stangyl, Surmontil"
Alimemazine,"Nedeltran, Theralen, Theralene, Theraligene"
Cyproheptadine,"Periactin, Peritol"
Diphenhydramine,"Benadryl, Dimedrol, Daedalon, Nytol"
Doxylamine,"Donormyl, Dormidina, Dozile, NyQuil, Restavit, Somnil, Unisom SleepTab"
Hydroxyzine,"Atarax, Vistaril"
Promethazine,"Avomine, Fargan, Phenergan, Pipolphen, Promethegan, Prothiazine, Romergan, Sominex"
Chloral hydrate,"Chloraldurat, Somnote"
Clomethiazole,"Distraneurin, Heminevrin"
Glutethimide,Doriden
Niaprazine,Nopron
Sodium oxybate,"Alcover, Xyrem"
Tizanidine,"Sirdalud, Zanaflex"
Motherwort,—
Tryptophan,—
Valerian,—
Chlorprothixene,Truxal
Levomepromazine/methotrimeprazine,"Levium, Levomepromazine Neuraxph, Neurocil"
Perazine,"Perazin Neuraxph, Taxilan"
Promethazine,"Atosil, Closin, Promethazin Neuraxph, Proneurin, Prothazin"
Prothipendyl,Dominal
Sulpiride,"Dogmatil, Dogmatyl, Sulpirid"
Thioridazine,"Mellaril, Thioridazin Neuraxph"
Perphenazine,Trilafon
Thiothixene,Navane
Benperidol,"Benperidol Neuraxph, Glianimon"
Bromperidol,Impromen
Fluphenazine,"Anatensol, Dapotum D, Deconoat, Fludecate,"
,"Modecate, Prolixin Decanoate, Sinqualone"
,"Dapotum Injektion, Flunanthate, Moditen"
,"Enanthate Injection, Sinqualone Enantat"
,"Dapotum, Permitil, Prolixin, Lyogen, Moditen,"
,"Omca, Sediten, Selecten, Sevinol, Siqualone, Trancin"
Flupentixol,"Depixol, Fluanxol"
Fluspirilen,"Fluspi, Fluspirilen Beta, Imap"
Haloperidol,"Haldol, Serenase"
Pimozide,Orap
Trifluoperazine,Stelazine
Zuclopenthixol,"Cisordinol, Clopixol"
Amisulpride,Solian
Aripiprazole,Abilify
Asenapine,Saphris
Clozapine,"Clozaril, Fazaclo, Leponex"
Iloperidone,Fanapt
Lurasidone,Latuda
Melperone,"Eunerpan, Melneurin"
Olanzapine,"Zyprexa, Zyprexa Relprevv"
Paliperidone,"Invega, Invega Sustenna"
Quetiapine,Seroquel
Risperidone,"Risperdal, Risperdal Consta"
Ziprasidone,"Geodon, Zeldox"
Zotepine,Nipolept
Carbamazepine,Tegretol
Lamotrigine,Lamictal
